kappa,theta,sigma,feller_value,feller_satisfied,log_likelihood,date,start_date,end_date
0.016168229483128134,0.5,0.02414182513407636,0.015585401762323812,True,1877.2339060193285,2018-03-27,2017-09-22,2018-09-25
0.02324893254896416,0.5,0.024133620901156883,0.022666500891163403,True,1871.8029395013873,2018-04-26,2017-10-24,2018-10-25
0.9512453084810726,0.025629909935815685,0.02375789505378622,0.048196225589087476,True,1869.177621754305,2018-05-28,2017-11-23,2018-11-26
1.2343380683081502,0.021106403081742588,0.02284863125010511,0.05158281366769939,True,1872.798513261463,2018-06-26,2017-12-22,2018-12-27
0.4535947951068093,0.02835422944174478,0.023462653135518458,0.025172165695921712,True,1861.8071460569506,2018-07-26,2018-01-25,2019-01-28
1.2483038504602557,0.020650248803269003,0.023037588132578828,0.05102483972119964,True,1863.15389036685,2018-08-27,2018-02-26,2019-02-27
3.2506364870317133,0.017562276245936165,0.022462033758870834,0.11367260896015624,True,1866.125421462485,2018-09-26,2018-03-27,2019-03-28
3.641401939127424,0.017456633832148793,0.022176299587557246,0.1266414523106509,True,1865.5370561007371,2018-10-26,2018-04-26,2019-04-29
4.18501438519447,0.017265444723815446,0.022488956532047258,0.1440065159059949,True,1858.873280828263,2018-11-27,2018-05-28,2019-05-29
10.0,0.01683211500572936,0.021426011688145594,0.3361832261377266,True,1870.0008630161792,2018-12-28,2018-06-26,2019-06-27
10.0,0.016781596104224288,0.0194570175601139,0.3352533465521512,True,1892.0112209869133,2019-01-29,2018-07-26,2019-07-29
10.0,0.016771319295658022,0.019350317162589066,0.33505195113886765,True,1892.2642990967634,2019-02-28,2018-08-27,2019-08-28
10.0,0.01687642838709305,0.01931563942594274,0.337155473815428,True,1892.0707549357753,2019-03-29,2018-09-26,2019-09-27
0.00010008002537729014,1e-05,0.018317024699624273,-0.0003355113922461381,False,1901.9812812101327,2019-04-30,2018-10-26,2019-10-29
10.0,0.0165771893077701,0.01799959845649952,0.3312198006108068,True,1910.0805199567053,2019-05-30,2018-11-27,2019-11-28
10.0,0.016683380925175045,0.017628741222552057,0.3333568459864092,True,1915.2457158014645,2019-06-28,2018-12-28,2020-01-02
10.0,0.016660274275064276,0.015093908117414451,0.3329776594390286,True,1954.2891511074972,2019-07-30,2019-01-29,2020-01-31
0.36447362378131415,1e-05,0.024629590484599468,-0.0005993272549634464,False,1828.5571918626702,2019-08-29,2019-02-28,2020-03-03
1.3143463338347694,1e-05,0.09023511044761678,-0.008116088230816904,False,1514.7002736104262,2019-09-30,2019-03-29,2020-04-01
1.4517891348120637,1e-05,0.10048948377242557,-0.010069100566152341,False,1509.346610504571,2019-10-30,2019-04-30,2020-05-04
1.6497755514598829,1e-05,0.10088452166257579,-0.010144691200057527,False,1529.6037031820379,2019-11-29,2019-05-30,2020-06-03
